!DateTime	u10	v10	airp	airt	relh	cloud	swr	precip
2019-01-01 05:00:00	1.27242	0	10130	13.15	100	1	0.148557	0
2019-01-01 06:00:00	1.23648	0	10130	12.81	100	1	0.18677	0
2019-01-01 07:00:00	1.41697	0	10120	11.84	100	1	0.217541	0
2019-01-01 08:00:00	1.43653	0	10130	16.35	100	1	0.356607	0
2019-01-01 09:00:00	2.06593	0	10130	15.29	100	1	1.3073	0
2019-01-01 10:00:00	2.19658	0	10120	17.83	81.7	1	0.995131	0
2019-01-01 11:00:00	2.43982	0	10130	16.87	84.7	1	0.609066	0
2019-01-01 12:00:00	2.15444	0	10140	16.5	76.44	1	0.475607	0
2019-01-01 13:00:00	3.47433	0	10160	14.82	69.11	1	1.56998	0
2019-01-01 14:00:00	3.18607	0	10160	14.61	65.72	1	22.421	0
2019-01-01 15:00:00	2.79635	0	10170	14.47	65.39	1	51.0475	0
2019-01-01 16:00:00	2.33005	0	10170	14.46	64.11	0.614649	112.993	0
2019-01-01 17:00:00	2.54688	0	10170	14.76	59.44	0.640339	157.095	0
2019-01-01 18:00:00	2.22181	0	10170	14.64	56.99	0.666029	186.426	0
2019-01-01 19:00:00	2.02651	0	10170	14.53	56.36	0.691719	165.408	0
2019-01-01 20:00:00	2.2765	0	10170	14.61	54.62	0.717409	153.877	0
2019-01-01 21:00:00	1.18933	0	10180	14.49	54.01	0.743099	106.503	0
2019-01-01 22:00:00	1.99925	0	10180	14.24	55.86	0.768789	40.4456	0
2019-01-01 23:00:00	2.68513	0	10190	13.59	59.08	0.79448	0.623803	0
2019-01-02 00:00:00	3.45037	0	10200	12.11	65.35	0.82017	0	0
2019-01-02 01:00:00	2.06939	0	10210	10.94	65.69	0.84586	0	0
2019-01-02 02:00:00	2.61702	0	10210	10.34	79.79	0.87155	0	0
2019-01-02 03:00:00	2.81185	0	10210	8.11	88.4	0.89724	0	0
2019-01-02 04:00:00	2.82615	0	10210	6.907	94.4	0.92293	0	0
