swr_factor,k_min,par_id
0.8495,2.274e-07,p0001
0.6222,0.5317,p0002
0.8042,2.152e-07,p0003
0.0536,0.3535,p0004
0.8926,1.771e-07,p0005
-0.1773,0.2545,p0006
0.9953,1.818e-07,p0007
0.1272,0.9859,p0008
0.7439,1.102e-07,p0009
0.6091,0.6053,p0010
0.9434,1.949e-07,p0011
0.4639,0.8798,p0012
0.8647,1.725e-07,p0013
-0.1292,0.01833,p0014
0.8469,1.223e-07,p0015
0.6542,0.7705,p0016
0.7308,2.09e-07,p0017
0.5997,0.2029,p0018
0.9372,1.912e-07,p0019
0.4962,0.7862,p0020
0.9042,1.107e-07,p0021
0.2472,0.5021,p0022
0.8994,1.448e-07,p0023
0.5728,0.4136,p0024
0.7598,2.404e-07,p0025
-0.2892,0.5406,p0026
0.9556,2.795e-07,p0027
0.3453,0.9681,p0028
0.7567,1.28e-07,p0029
0.5368,0.2104,p0030
0.7055,1.244e-07,p0031
-0.07459,0.1824,p0032
0.8669,2.748e-07,p0033
-0.1056,0.2566,p0034
0.7264,1.341e-07,p0035
0.3955,0.2121,p0036
0.7355,1.94e-07,p0037
-0.1189,0.5099,p0038
0.934,1.176e-07,p0039
0.1038,0.6163,p0040
0.7622,2.992e-07,p0041
0.01093,0.3679,p0042
0.7226,1.046e-07,p0043
-0.1033,0.2592,p0044
0.7413,2.124e-07,p0045
0.3123,0.8072,p0046
0.8624,2.716e-07,p0047
-0.2727,0.505,p0048
0.7082,2.506e-07,p0049
-0.2367,0.3487,p0050
0.7047,2.56e-07,p0051
0.4004,0.06193,p0052
0.7454,2.742e-07,p0053
0.108,0.2827,p0054
0.8137,2.59e-07,p0055
0.6932,0.7567,p0056
0.9264,2.714e-07,p0057
0.1108,0.3349,p0058
0.8891,1.377e-07,p0059
-0.2077,0.4351,p0060
0.7592,1.745e-07,p0061
0.6758,0.645,p0062
0.7457,1.321e-07,p0063
-0.08154,0.133,p0064
0.8007,2.724e-07,p0065
-0.149,0.3377,p0066
0.7992,1.229e-07,p0067
0.4195,0.06239,p0068
0.9303,2.051e-07,p0069
0.6481,0.1582,p0070
0.8253,2.472e-07,p0071
0.5136,0.7111,p0072
0.8269,2.974e-07,p0073
0.1311,0.4983,p0074
0.7471,1.619e-07,p0075
0.08766,0.8554,p0076
0.7556,2.427e-07,p0077
-0.1826,0.1023,p0078
0.8654,2.287e-07,p0079
-0.1849,0.02535,p0080
0.8132,1.688e-07,p0081
0.5747,0.9028,p0082
0.9171,1.547e-07,p0083
0.3612,0.8675,p0084
0.8662,1.799e-07,p0085
-0.03039,0.9489,p0086
0.7821,1.132e-07,p0087
0.3998,0.6558,p0088
0.7131,2.27e-07,p0089
-0.2679,0.3763,p0090
0.7574,2.597e-07,p0091
0.499,0.09831,p0092
0.9475,1.759e-07,p0093
0.659,0.5926,p0094
0.7031,1.605e-07,p0095
-0.09947,0.7303,p0096
0.7106,1.301e-07,p0097
-0.2445,0.6885,p0098
0.812,2.729e-07,p0099
-0.06817,0.7751,p0100
0.7463,2.618e-07,p0101
0.3299,0.7041,p0102
0.7512,1.063e-07,p0103
0.4556,0.3553,p0104
0.9151,2.547e-07,p0105
0.4121,0.7971,p0106
0.9388,1.309e-07,p0107
-0.1597,0.9445,p0108
0.8572,2.279e-07,p0109
-0.2613,0.821,p0110
0.8563,2.52e-07,p0111
0.1654,0.5715,p0112
0.9358,1.183e-07,p0113
0.483,0.535,p0114
0.9135,1.409e-07,p0115
-0.002153,0.6476,p0116
0.7941,1.662e-07,p0117
0.683,0.9635,p0118
0.8586,2.025e-07,p0119
-0.01853,0.3715,p0120
0.9334,2.322e-07,p0121
0.2075,0.4832,p0122
0.9619,2.552e-07,p0123
-0.061,0.1085,p0124
0.7794,1.653e-07,p0125
-0.0336,0.4799,p0126
0.8525,2.163e-07,p0127
-0.02135,0.2003,p0128
0.9686,2.839e-07,p0129
0.1801,0.2602,p0130
0.8209,2.486e-07,p0131
0.1898,0.2462,p0132
0.95,2.385e-07,p0133
-0.04919,0.7339,p0134
0.7497,1.166e-07,p0135
0.3153,0.6405,p0136
0.7211,1.645e-07,p0137
-0.2392,0.3966,p0138
0.9075,1.499e-07,p0139
0.2035,0.181,p0140
0.8824,1.397e-07,p0141
-0.2029,0.6202,p0142
0.9034,1.382e-07,p0143
0.4154,0.9416,p0144
0.8523,1.156e-07,p0145
0.2848,0.8401,p0146
0.9768,2.302e-07,p0147
-0.1691,0.1845,p0148
0.8633,1.531e-07,p0149
0.05167,0.6955,p0150
0.9424,1.02e-07,p0151
-0.2562,0.02965,p0152
0.8665,1.48e-07,p0153
0.4597,0.3513,p0154
0.8308,1.9e-07,p0155
-0.2326,0.421,p0156
0.8387,1.458e-07,p0157
0.4365,0.6246,p0158
0.9985,2.952e-07,p0159
0.2247,0.9992,p0160
0.8326,2.139e-07,p0161
-0.08807,0.9423,p0162
0.8784,2.198e-07,p0163
0.1006,0.163,p0164
0.8745,2.176e-07,p0165
0.3808,0.4306,p0166
0.8916,2.405e-07,p0167
0.2197,0.05508,p0168
0.9794,2.523e-07,p0169
0.1285,0.3893,p0170
0.7838,2.075e-07,p0171
0.2282,0.7673,p0172
0.8751,1.052e-07,p0173
0.3664,0.6328,p0174
0.9666,2.688e-07,p0175
0.067,0.2204,p0176
0.9145,2.325e-07,p0177
0.6983,0.8534,p0178
0.9092,1.971e-07,p0179
