datetime	Depth_meter	Water_Temperature_celsius
2018-07-05 21:00:00	0	29.5673
2018-07-05 21:00:00	-1	28.2297
2018-07-05 21:00:00	-2	24.2471
2018-07-05 21:00:00	-3	17.6425
2018-07-05 21:00:00	-4	13.9826
2018-07-05 21:00:00	-5	11.2435
2018-07-05 21:00:00	-6	11.1795
2018-07-05 21:00:00	-7	11.1666
2018-07-05 21:00:00	-8	11.1557
2018-07-05 21:00:00	-9	11.1339
2018-07-05 22:00:00	0	30.2026
2018-07-05 22:00:00	-1	28.3569
2018-07-05 22:00:00	-2	24.0224
2018-07-05 22:00:00	-3	17.8349
2018-07-05 22:00:00	-4	13.675
2018-07-05 22:00:00	-5	11.1726
2018-07-05 22:00:00	-6	11.1808
2018-07-05 22:00:00	-7	11.1667
2018-07-05 22:00:00	-8	11.1587
2018-07-05 22:00:00	-9	11.138
2018-07-05 23:00:00	0	31.124
2018-07-05 23:00:00	-1	28.4459
2018-07-05 23:00:00	-2	23.6016
2018-07-05 23:00:00	-3	18.5892
2018-07-05 23:00:00	-4	13.518
2018-07-05 23:00:00	-5	11.222
2018-07-05 23:00:00	-6	11.17
2018-07-05 23:00:00	-7	11.166
2018-07-05 23:00:00	-8	11.1597
2018-07-05 23:00:00	-9	11.1369
2018-07-06 00:00:00	0	31.0194
2018-07-06 00:00:00	-1	28.4681
2018-07-06 00:00:00	-2	23.8828
2018-07-06 00:00:00	-3	18.516
2018-07-06 00:00:00	-4	13.2116
2018-07-06 00:00:00	-5	11.142
2018-07-06 00:00:00	-6	11.1659
2018-07-06 00:00:00	-7	11.164
2018-07-06 00:00:00	-8	11.164
2018-07-06 00:00:00	-9	11.1455
2018-07-06 01:00:00	0	30.5053
2018-07-06 01:00:00	-1	28.6002
2018-07-06 01:00:00	-2	23.4357
2018-07-06 01:00:00	-3	18.7534
2018-07-06 01:00:00	-4	12.7843
2018-07-06 01:00:00	-5	11.1576
2018-07-06 01:00:00	-6	11.1716
2018-07-06 01:00:00	-7	11.1868
2018-07-06 01:00:00	-8	11.1864
2018-07-06 01:00:00	-9	11.1485
2018-07-06 02:00:00	0	30.2652
2018-07-06 02:00:00	-1	28.7093
2018-07-06 02:00:00	-2	23.6053
2018-07-06 02:00:00	-3	18.4326
2018-07-06 02:00:00	-4	13.232
2018-07-06 02:00:00	-5	11.1717
2018-07-06 02:00:00	-6	11.1688
2018-07-06 02:00:00	-7	11.1699
2018-07-06 02:00:00	-8	11.1608
2018-07-06 02:00:00	-9	11.1448
2018-07-06 03:00:00	0	29.9675
2018-07-06 03:00:00	-1	28.783
2018-07-06 03:00:00	-2	23.8686
2018-07-06 03:00:00	-3	17.9662
2018-07-06 03:00:00	-4	13.4706
2018-07-06 03:00:00	-5	11.1586
2018-07-06 03:00:00	-6	11.19
2018-07-06 03:00:00	-7	11.1867
2018-07-06 03:00:00	-8	11.1696
2018-07-06 03:00:00	-9	11.1574
2018-07-06 04:00:00	0	29.7234
2018-07-06 04:00:00	-1	28.6846
2018-07-06 04:00:00	-2	24.0943
2018-07-06 04:00:00	-3	17.9298
2018-07-06 04:00:00	-4	13.7772
2018-07-06 04:00:00	-5	11.1821
2018-07-06 04:00:00	-6	11.1879
2018-07-06 04:00:00	-7	11.1824
2018-07-06 04:00:00	-8	11.1707
2018-07-06 04:00:00	-9	11.1459
2018-07-06 05:00:00	0	29.5317
2018-07-06 05:00:00	-1	28.6508
2018-07-06 05:00:00	-2	24.247
2018-07-06 05:00:00	-3	17.9316
2018-07-06 05:00:00	-4	13.5134
2018-07-06 05:00:00	-5	11.1969
2018-07-06 05:00:00	-6	11.1764
2018-07-06 05:00:00	-7	11.1759
2018-07-06 05:00:00	-8	11.1641
2018-07-06 05:00:00	-9	11.148
2018-07-06 06:00:00	0	29.3996
2018-07-06 06:00:00	-1	28.6654
2018-07-06 06:00:00	-2	24.2347
2018-07-06 06:00:00	-3	17.8903
2018-07-06 06:00:00	-4	13.3598
2018-07-06 06:00:00	-5	11.2088
2018-07-06 06:00:00	-6	11.1921
2018-07-06 06:00:00	-7	11.1774
2018-07-06 06:00:00	-8	11.1671
2018-07-06 06:00:00	-9	11.1437
2018-07-06 07:00:00	0	29.2402
2018-07-06 07:00:00	-1	28.8022
2018-07-06 07:00:00	-2	24.4691
2018-07-06 07:00:00	-3	17.7865
2018-07-06 07:00:00	-4	13.5298
2018-07-06 07:00:00	-5	11.231
2018-07-06 07:00:00	-6	11.1775
2018-07-06 07:00:00	-7	11.1753
2018-07-06 07:00:00	-8	11.1709
2018-07-06 07:00:00	-9	11.1505
2018-07-06 08:00:00	0	29.0916
2018-07-06 08:00:00	-1	28.2392
2018-07-06 08:00:00	-2	24.2201
2018-07-06 08:00:00	-3	17.926
2018-07-06 08:00:00	-4	13.5272
2018-07-06 08:00:00	-5	11.1877
2018-07-06 08:00:00	-6	11.1855
2018-07-06 08:00:00	-7	11.185
2018-07-06 08:00:00	-8	11.1746
2018-07-06 08:00:00	-9	11.1541
2018-07-06 09:00:00	0	28.9208
2018-07-06 09:00:00	-1	28.472
2018-07-06 09:00:00	-2	24.2949
2018-07-06 09:00:00	-3	18.072
2018-07-06 09:00:00	-4	13.7879
2018-07-06 09:00:00	-5	11.2147
2018-07-06 09:00:00	-6	11.1832
2018-07-06 09:00:00	-7	11.1802
2018-07-06 09:00:00	-8	11.1712
2018-07-06 09:00:00	-9	11.1482
2018-07-06 10:00:00	0	28.7015
2018-07-06 10:00:00	-1	28.644
2018-07-06 10:00:00	-2	24.1279
2018-07-06 10:00:00	-3	18.4907
2018-07-06 10:00:00	-4	13.2497
2018-07-06 10:00:00	-5	11.1644
2018-07-06 10:00:00	-6	11.1819
2018-07-06 10:00:00	-7	11.1787
2018-07-06 10:00:00	-8	11.1718
2018-07-06 10:00:00	-9	11.1522
2018-07-06 11:00:00	0	28.4883
2018-07-06 11:00:00	-1	28.4674
2018-07-06 11:00:00	-2	24.1885
2018-07-06 11:00:00	-3	18.3409
2018-07-06 11:00:00	-4	13.1313
2018-07-06 11:00:00	-5	11.1594
2018-07-06 11:00:00	-6	11.1818
2018-07-06 11:00:00	-7	11.183
2018-07-06 11:00:00	-8	11.1765
2018-07-06 11:00:00	-9	11.1613
2018-07-06 12:00:00	0	28.3747
2018-07-06 12:00:00	-1	28.3776
2018-07-06 12:00:00	-2	24.2779
2018-07-06 12:00:00	-3	18.3405
2018-07-06 12:00:00	-4	13.2455
2018-07-06 12:00:00	-5	11.1744
2018-07-06 12:00:00	-6	11.1914
2018-07-06 12:00:00	-7	11.1974
2018-07-06 12:00:00	-8	11.1765
2018-07-06 12:00:00	-9	11.1499
2018-07-06 13:00:00	0	28.293
2018-07-06 13:00:00	-1	28.2967
2018-07-06 13:00:00	-2	24.0976
2018-07-06 13:00:00	-3	18.2305
2018-07-06 13:00:00	-4	13.5451
2018-07-06 13:00:00	-5	11.1891
2018-07-06 13:00:00	-6	11.1899
2018-07-06 13:00:00	-7	11.1825
2018-07-06 13:00:00	-8	11.1703
2018-07-06 13:00:00	-9	11.1535
2018-07-06 14:00:00	0	28.2815
2018-07-06 14:00:00	-1	28.2032
2018-07-06 14:00:00	-2	24.2777
2018-07-06 14:00:00	-3	18.1225
2018-07-06 14:00:00	-4	13.493
2018-07-06 14:00:00	-5	11.1865
2018-07-06 14:00:00	-6	11.1844
2018-07-06 14:00:00	-7	11.1802
2018-07-06 14:00:00	-8	11.1722
2018-07-06 14:00:00	-9	11.154
2018-07-06 15:00:00	0	28.2197
2018-07-06 15:00:00	-1	28.2018
2018-07-06 15:00:00	-2	23.8303
2018-07-06 15:00:00	-3	18.2506
2018-07-06 15:00:00	-4	13.5415
2018-07-06 15:00:00	-5	11.1579
2018-07-06 15:00:00	-6	11.1879
2018-07-06 15:00:00	-7	11.2184
2018-07-06 15:00:00	-8	11.1844
2018-07-06 15:00:00	-9	11.1576
2018-07-06 16:00:00	0	28.2769
2018-07-06 16:00:00	-1	28.2957
2018-07-06 16:00:00	-2	23.993
2018-07-06 16:00:00	-3	18.4712
2018-07-06 16:00:00	-4	13.433
2018-07-06 16:00:00	-5	11.2221
2018-07-06 16:00:00	-6	11.1879
2018-07-06 16:00:00	-7	11.1867
2018-07-06 16:00:00	-8	11.194
2018-07-06 16:00:00	-9	11.1574
2018-07-06 17:00:00	0	28.3468
2018-07-06 17:00:00	-1	28.3639
2018-07-06 17:00:00	-2	24.1154
2018-07-06 17:00:00	-3	18.2931
2018-07-06 17:00:00	-4	13.1823
2018-07-06 17:00:00	-5	11.1762
2018-07-06 17:00:00	-6	11.2029
2018-07-06 17:00:00	-7	11.2114
2018-07-06 17:00:00	-8	11.2199
2018-07-06 17:00:00	-9	11.161
2018-07-06 18:00:00	0	28.5936
2018-07-06 18:00:00	-1	28.4816
2018-07-06 18:00:00	-2	23.8555
2018-07-06 18:00:00	-3	17.8949
2018-07-06 18:00:00	-4	13.3643
2018-07-06 18:00:00	-5	11.1872
2018-07-06 18:00:00	-6	11.1938
2018-07-06 18:00:00	-7	11.2144
2018-07-06 18:00:00	-8	11.1875
2018-07-06 18:00:00	-9	11.1676
2018-07-06 19:00:00	0	29.0214
2018-07-06 19:00:00	-1	28.9292
2018-07-06 19:00:00	-2	24.0029
2018-07-06 19:00:00	-3	17.96
2018-07-06 19:00:00	-4	13.837
2018-07-06 19:00:00	-5	11.2331
2018-07-06 19:00:00	-6	11.1978
2018-07-06 19:00:00	-7	11.1949
2018-07-06 19:00:00	-8	11.184
2018-07-06 19:00:00	-9	11.1642
2018-07-06 20:00:00	0	29.4204
2018-07-06 20:00:00	-1	29.2788
2018-07-06 20:00:00	-2	23.7906
2018-07-06 20:00:00	-3	18.26
2018-07-06 20:00:00	-4	13.4402
2018-07-06 20:00:00	-5	11.1942
2018-07-06 20:00:00	-6	11.1944
2018-07-06 20:00:00	-7	11.1904
2018-07-06 20:00:00	-8	11.1718
2018-07-06 20:00:00	-9	11.1567
2018-07-06 21:00:00	0	29.5307
2018-07-06 21:00:00	-1	29.5605
2018-07-06 21:00:00	-2	24.2246
2018-07-06 21:00:00	-3	18.4705
2018-07-06 21:00:00	-4	13.5929
2018-07-06 21:00:00	-5	11.179
2018-07-06 21:00:00	-6	11.1936
2018-07-06 21:00:00	-7	11.1905
2018-07-06 21:00:00	-8	11.1767
2018-07-06 21:00:00	-9	11.1602
2018-07-06 22:00:00	0	29.6855
2018-07-06 22:00:00	-1	29.5067
2018-07-06 22:00:00	-2	23.7434
2018-07-06 22:00:00	-3	17.8436
2018-07-06 22:00:00	-4	13.0642
2018-07-06 22:00:00	-5	11.1912
2018-07-06 22:00:00	-6	11.195
2018-07-06 22:00:00	-7	11.1974
2018-07-06 22:00:00	-8	11.1844
2018-07-06 22:00:00	-9	11.1575
2018-07-06 23:00:00	0	29.6653
2018-07-06 23:00:00	-1	29.4041
2018-07-06 23:00:00	-2	23.899
2018-07-06 23:00:00	-3	18.1373
2018-07-06 23:00:00	-4	13.577
2018-07-06 23:00:00	-5	11.233
2018-07-06 23:00:00	-6	11.2155
2018-07-06 23:00:00	-7	11.2097
2018-07-06 23:00:00	-8	11.2239
2018-07-06 23:00:00	-9	11.1856
2018-07-07 00:00:00	0	29.2903
2018-07-07 00:00:00	-1	29.2671
2018-07-07 00:00:00	-2	24.5541
2018-07-07 00:00:00	-3	19.141
2018-07-07 00:00:00	-4	14.0451
2018-07-07 00:00:00	-5	11.2173
2018-07-07 00:00:00	-6	11.2041
2018-07-07 00:00:00	-7	11.2236
2018-07-07 00:00:00	-8	11.181
2018-07-07 00:00:00	-9	11.1651
2018-07-07 01:00:00	0	29.1923
2018-07-07 01:00:00	-1	29.1447
2018-07-07 01:00:00	-2	24.219
2018-07-07 01:00:00	-3	17.4246
