swr_factor,k_min
0.8491,2.319e-07
0.9566,2.013e-07
0.8569,2.58e-07
0.757,1.667e-07
0.8316,2.257e-07
0.9912,1.25e-07
0.7633,1.514e-07
0.7503,2.419e-07
0.8624,1.066e-07
0.9667,2.327e-07
0.7639,2.193e-07
0.9419,2.019e-07
0.9623,1.985e-07
0.9793,1.487e-07
0.7798,2.36e-07
0.7071,1.948e-07
0.9193,2.54e-07
0.9025,2.297e-07
0.8904,1.931e-07
0.9248,1.315e-07
0.8166,2.299e-07
0.7022,1.058e-07
0.8203,1.144e-07
0.9715,2.505e-07
0.7733,2.331e-07
0.7432,1.552e-07
0.9849,2.487e-07
0.8023,1.403e-07
0.7537,2.301e-07
0.9653,1.165e-07
0.9006,1.308e-07
0.9879,2.738e-07
0.7723,1.735e-07
0.9707,2.415e-07
0.8127,2.767e-07
0.7098,2.968e-07
0.9549,2.981e-07
0.8824,2.738e-07
0.8022,1.119e-07
0.8754,2.055e-07
0.7261,1.274e-07
0.9186,1.674e-07
0.8515,1.586e-07
0.7149,1.568e-07
0.9891,1.069e-07
0.9592,2.109e-07
0.8084,1.602e-07
0.7958,1.196e-07
0.9679,1.267e-07
0.8332,1.169e-07
0.7033,1.206e-07
0.7366,1.758e-07
0.7675,1.968e-07
0.8734,2.301e-07
0.8407,2.462e-07
0.9797,2.023e-07
0.825,2.728e-07
0.9636,1.079e-07
0.7642,1.692e-07
0.8865,1.449e-07
0.7543,1.893e-07
0.7798,1.145e-07
0.8306,2.249e-07
0.9642,2.423e-07
0.7554,2.456e-07
0.8548,1.251e-07
0.8408,1.365e-07
0.7665,2.771e-07
0.8491,1.154e-07
0.7762,1.298e-07
0.9036,1.654e-07
0.8247,1.486e-07
0.8147,2.218e-07
0.8303,2.838e-07
0.7471,2.086e-07
0.8189,2.105e-07
0.7389,1.133e-07
0.9371,1.994e-07
0.8749,1.79e-07
0.802,1.619e-07
0.869,1.408e-07
0.9737,1.053e-07
0.9148,1.424e-07
0.9932,1.768e-07
0.9792,1.901e-07
0.9859,2.419e-07
0.7786,1.319e-07
0.9214,2.086e-07
0.7304,1.2e-07
0.7905,2.502e-07
0.8237,1.86e-07
0.7001,2.888e-07
0.812,2.529e-07
0.9472,2.843e-07
0.7942,1.446e-07
0.9937,1.526e-07
0.7964,1.829e-07
0.8658,1.647e-07
0.7015,1.398e-07
0.8673,1.551e-07
